Species	Count	Family	Order	Class
Hyporhamphus intermedius	67	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus far	100	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus yuri	5	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus meeki	16	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus marginatus	1	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus saltator	9	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus naos	10	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus melanopterus	1	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus sajori	42	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus unifasciatus	27	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus depauperatus	6	Hemiramphidae	Beloniformes	Teleostei
Oxyporhamphus micropterus	50	Hemiramphidae	Beloniformes	Teleostei
Euleptorhamphus viridis	14	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus limbatus	19	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus lutkei	17	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus regularis	11	Hemiramphidae	Beloniformes	Teleostei
Hemiramphus convexus	6	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus affinis	37	Hemiramphidae	Beloniformes	Teleostei
Hyporhamphus dussumieri	23	Hemiramphidae	Beloniformes	Teleostei
Oxyporhamphus similis	16	Hemiramphidae	Beloniformes	Teleostei
Hoplichthys sp.	2	Hoplichthyidae	Perciformes/Scorpaenoidei	Teleostei
Hoplichthys fasciatus	2	Hoplichthyidae	Perciformes/Scorpaenoidei	Teleostei
Hoplichthys cf.	1	Hoplichthyidae	Perciformes/Scorpaenoidei	Teleostei
Hoplichthys gilberti	16	Hoplichthyidae	Perciformes/Scorpaenoidei	Teleostei
Howella brodiei	27	Howellidae	Acropomatiformes	Teleostei
Howella zina	16	Howellidae	Acropomatiformes	Teleostei
Howella sp.	13	Howellidae	Acropomatiformes	Teleostei
Howella parini	1	Howellidae	Acropomatiformes	Teleostei
Iso flosmaris	2	Isonidae	Atheriniformes	Teleostei
Iso rhothophilus	8	Isonidae	Atheriniformes	Teleostei
Iso natalensis	20	Isonidae	Atheriniformes	Teleostei
Kyphosus analogus	8	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus vaigiensis	145	Kyphosidae	Centrarchiformes	Teleostei
Labracoglossa argenteiventris	19	Scorpididae	Centrarchiformes	Teleostei
Kyphosus bigibbus	65	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus pacificus	85	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus azureus	10	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus ocyurus	2	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus cinerascens	98	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus sectatrix	29	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus incisor	26	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus elegans	14	Kyphosidae	Centrarchiformes	Teleostei
Atypichthys strigatus	26	Microcanthidae	Centrarchiformes	Teleostei
Scorpis lineolata	31	Scorpididae	Centrarchiformes	Teleostei
Kyphosus cornelii	11	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus hawaiiensis	5	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus sydneyanus	46	Kyphosidae	Centrarchiformes	Teleostei
Kyphosus gladius	21	Kyphosidae	Centrarchiformes	Teleostei
Scorpis violacea	2	Scorpididae	Centrarchiformes	Teleostei
Atypichthys latus	2	Microcanthidae	Centrarchiformes	Teleostei
Pseudolabrus sieboldi	54	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus eoethinus	37	Labridae	Eupercaria/misc	Teleostei
Pseudojuloides cerasinus	29	Labridae	Eupercaria/misc	Teleostei
Pseudojuloides atavai	29	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus fuentesi	3	Labridae	Eupercaria/misc	Teleostei
Pseudojuloides elongatus	9	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus luculentus	6	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus guentheri	4	Labridae	Eupercaria/misc	Teleostei
Pseudojuloides xanthomos	4	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus gayi	2	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus miles	5	Labridae	Eupercaria/misc	Teleostei
Pseudolabrus biserialis	2	Labridae	Eupercaria/misc	Teleostei
Lampris guttatus	71	Lampridae	Lampriformes	Teleostei
Lampris incognitus	52	Lampridae	Lampriformes	Teleostei
Lampris megalopsis	84	Lampridae	Lampriformes	Teleostei
Lampris immaculatus	9	Lampridae	Lampriformes	Teleostei
Latris lineata	16	Latridae	Centrarchiformes	Teleostei
Mendosoma lineatum	14	Latridae	Centrarchiformes	Teleostei
Photolateralis stercorarius	73	Leiognathidae	Acanthuriformes	Teleostei
Lesueurina platycephala	13	Leptoscopidae	Acropomatiformes	Teleostei
Careproctus melanurus	35	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis pectoralis	41	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus cypselurus	115	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis garmani	10	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis bathybius	19	Liparidae	Perciformes/Cottoidei	Teleostei
Psednos micruroides	2	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis copei	15	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus rotundifrons	1	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus sp.	39	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus colletti	147	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis rosaceus	18	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus kidoi	4	Liparidae	Perciformes/Cottoidei	Teleostei
Psednos groenlandicus	2	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus faunus	4	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus comus	4	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis cephalus	15	Liparidae	Perciformes/Cottoidei	Teleostei
Psednos melanocephalus	2	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus cyclocephalus	2	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus simus	26	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus mederi	4	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus marginatus	9	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus roseofuscus	9	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus macrodiscus	3	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis grandis	10	Liparidae	Perciformes/Cottoidei	Teleostei
Paraliparis meridionalis	2	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus rastrinus	144	Liparidae	Perciformes/Cottoidei	Teleostei
Careproctus reinhardti	44	Liparidae	Perciformes/Cottoidei	Teleostei
Hymenocephalus longibarbis	13	Macrouridae	Gadiformes	Teleostei
Ventrifossa garmani	26	Macrouridae	Gadiformes	Teleostei
Coelorinchus kishinouyei	31	Macrouridae	Gadiformes	Teleostei
Hymenocephalus striatissimus	10	Macrouridae	Gadiformes	Teleostei
Gadomus colletti	5	Bathygadidae	Gadiformes	Teleostei
Nezumia convergens	15	Macrouridae	Gadiformes	Teleostei
Coelorinchus formosanus	12	Macrouridae	Gadiformes	Teleostei
Coryphaenoides filifer	13	Macrouridae	Gadiformes	Teleostei
Coelorinchus scaphopsis	8	Macrouridae	Gadiformes	Teleostei
Nezumia liolepis	38	Macrouridae	Gadiformes	Teleostei
Coryphaenoides yaquinae	33	Macrouridae	Gadiformes	Teleostei
Coryphaenoides acrolepis	76	Macrouridae	Gadiformes	Teleostei
Trachyrincus murrayi	22	Trachyrincidae	Gadiformes	Teleostei
Nezumia bairdii	27	Macrouridae	Gadiformes	Teleostei
Macrourus berglax	30	Macrouridae	Gadiformes	Teleostei
Coryphaenoides rupestris	32	Macrouridae	Gadiformes	Teleostei
Coelorinchus japonicus	11	Macrouridae	Gadiformes	Teleostei
Coelorinchus anatirostris	9	Macrouridae	Gadiformes	Teleostei
Kumba japonica	1	Macrouridae	Gadiformes	Teleostei
Coryphaenoides rudis	9	Macrouridae	Gadiformes	Teleostei
Coelorinchus hige	5	Macrouridae	Gadiformes	Teleostei
Coryphaenoides marginatus	19	Macrouridae	Gadiformes	Teleostei
Coryphaenoides armatus	32	Macrouridae	Gadiformes	Teleostei
Coelorinchus jordani	10	Macrouridae	Gadiformes	Teleostei
Coelorinchus hubbsi	6	Macrouridae	Gadiformes	Teleostei
Coryphaenoides longifilis	10	Macrouridae	Gadiformes	Teleostei
Hymenocephalus longiceps	4	Macrouridae	Gadiformes	Teleostei
Lucigadus nigromarginatus	4	Macrouridae	Gadiformes	Teleostei
Ventrifossa misakia	2	Macrouridae	Gadiformes	Teleostei
Coryphaenoides altipinnis	1	Macrouridae	Gadiformes	Teleostei
Nezumia condylura	3	Macrouridae	Gadiformes	Teleostei
Coelorinchus kamoharai	17	Macrouridae	Gadiformes	Teleostei
Coelorinchus longissimus	7	Macrouridae	Gadiformes	Teleostei
Coelorinchus tokiensis	5	Macrouridae	Gadiformes	Teleostei
Coelorinchus sheni	1	Macrouridae	Gadiformes	Teleostei
Coryphaenoides cinereus	41	Macrouridae	Gadiformes	Teleostei
Coryphaenoides brevibarbis	20	Macrouridae	Gadiformes	Teleostei
Coryphaenoides guentheri	22	Macrouridae	Gadiformes	Teleostei
Coryphaenoides mediterraneus	404	Macrouridae	Gadiformes	Teleostei
Coelorinchus hexafasciatus	1	Macrouridae	Gadiformes	Teleostei
Coryphaenoides soyoae	1	Macrouridae	Gadiformes	Teleostei
Hymenocephalus lethonemus	1	Macrouridae	Gadiformes	Teleostei
Lepidorhynchus denticulatus	18	Macrouridae	Gadiformes	Teleostei
Coelorinchus australis	11	Macrouridae	Gadiformes	Teleostei
Coelorinchus labiatus	7	Macrouridae	Gadiformes	Teleostei
Coelorinchus multispinulosus	7	Macrouridae	Gadiformes	Teleostei
Nezumia proxima	3	Macrouridae	Gadiformes	Teleostei
Coelorinchus macrochir	5	Macrouridae	Gadiformes	Teleostei
Coelorinchus gilberti	4	Macrouridae	Gadiformes	Teleostei
Bathygadus antrodes	15	Bathygadidae	Gadiformes	Teleostei
Coryphaenoides sp.	13	Macrouridae	Gadiformes	Teleostei
Ventrifossa rhipidodorsalis	10	Macrouridae	Gadiformes	Teleostei
Coryphaenoides microps	5	Macrouridae	Gadiformes	Teleostei
Coelorinchus smithi	1	Macrouridae	Gadiformes	Teleostei
Ventrifossa johnboborum	3	Macrouridae	Gadiformes	Teleostei
Trachyrincus scabrus	13	Trachyrincidae	Gadiformes	Teleostei
Trachonurus sulcatus	5	Macrouridae	Gadiformes	Teleostei
Trachonurus sp.	1	Macrouridae	Gadiformes	Teleostei
Nezumia longebarbata	4	Macrouridae	Gadiformes	Teleostei
Nezumia duodecim	1	Macrouridae	Gadiformes	Teleostei
Nezumia micronychodon	3	Macrouridae	Gadiformes	Teleostei
Nezumia cf.	2	Macrouridae	Gadiformes	Teleostei
Nezumia milleri	2	Macrouridae	Gadiformes	Teleostei
Nezumia aequalis	3	Macrouridae	Gadiformes	Teleostei
Mesovagus antipodum	3	Macrouridae	Gadiformes	Teleostei
Macrourus carinatus	48	Macrouridae	Gadiformes	Teleostei
Lucigadus nigromaculatus	14	Macrouridae	Gadiformes	Teleostei
Hymenocephalus italicus	10	Macrouridae	Gadiformes	Teleostei
Gadomus dispar	14	Bathygadidae	Gadiformes	Teleostei
Coryphaenoides dossenus	19	Macrouridae	Gadiformes	Teleostei
Coryphaenoides alateralis	10	Macrouridae	Gadiformes	Teleostei
Coryphaenoides subserrulatus	31	Macrouridae	Gadiformes	Teleostei
Coryphaenoides serrulatus	37	Macrouridae	Gadiformes	Teleostei
Coryphaenoides paramarshalli	3	Macrouridae	Gadiformes	Teleostei
Coryphaenoides marshalli	3	Macrouridae	Gadiformes	Teleostei
Coryphaenoides zaniophorus	6	Macrouridae	Gadiformes	Teleostei
Coelorinchus matamua	9	Macrouridae	Gadiformes	Teleostei
Coelorinchus caribbaeus	3	Macrouridae	Gadiformes	Teleostei
Coelorinchus polli	3	Macrouridae	Gadiformes	Teleostei
Coelorinchus geronimo	2	Macrouridae	Gadiformes	Teleostei
Coelorinchus caelorhincus	24	Macrouridae	Gadiformes	Teleostei
Coelorinchus cf.	2	Macrouridae	Gadiformes	Teleostei
Coelorinchus parvifasciatus	6	Macrouridae	Gadiformes	Teleostei
Coelorinchus fasciatus	28	Macrouridae	Gadiformes	Teleostei
Coelorinchus biclinozonalis	7	Macrouridae	Gadiformes	Teleostei
Coelorinchus bollonsi	6	Macrouridae	Gadiformes	Teleostei
Coelorinchus aspercephalus	5	Macrouridae	Gadiformes	Teleostei
Coelorinchus innotabilis	13	Macrouridae	Gadiformes	Teleostei
Coelorinchus oliverianus	12	Macrouridae	Gadiformes	Teleostei
Coelorinchus kaiyomaru	16	Macrouridae	Gadiformes	Teleostei
Coelorinchus kermadecus	6	Macrouridae	Gadiformes	Teleostei
Coelorinchus acanthiger	20	Macrouridae	Gadiformes	Teleostei
Bathygadus melanobranchus	10	Bathygadidae	Gadiformes	Teleostei
Bathygadus macrops	2	Bathygadidae	Gadiformes	Teleostei
Bathygadus favosus	6	Bathygadidae	Gadiformes	Teleostei
Coryphaenoides mexicanus	7	Macrouridae	Gadiformes	Teleostei
Coryphaenoides leptolepis	19	Macrouridae	Gadiformes	Teleostei
Coelorinchus occa	4	Macrouridae	Gadiformes	Teleostei
Coryphaenoides nasutus	12	Macrouridae	Gadiformes	Teleostei
Merluccius productus	221	Merlucciidae	Gadiformes	Teleostei
Macruronus novaezelandiae	70	Macruronidae	Gadiformes	Teleostei
Merluccius bilinearis	102	Merlucciidae	Gadiformes	Teleostei
Merluccius angustimanus	35	Merlucciidae	Gadiformes	Teleostei
Merluccius merluccius	834	Merlucciidae	Gadiformes	Teleostei
Merluccius albidus	40	Merlucciidae	Gadiformes	Teleostei
Merluccius australis	77	Merlucciidae	Gadiformes	Teleostei
Merluccius capensis	82	Merlucciidae	Gadiformes	Teleostei
Merluccius paradoxus	90	Merlucciidae	Gadiformes	Teleostei
Merluccius hubbsi	87	Merlucciidae	Gadiformes	Teleostei
Merluccius polli	9	Merlucciidae	Gadiformes	Teleostei
Merluccius gayi	30	Merlucciidae	Gadiformes	Teleostei
Merluccius senegalensis	9	Merlucciidae	Gadiformes	Teleostei
Macruronus magellanicus	34	Macruronidae	Gadiformes	Teleostei
Scopeloberyx rossicus	3	Melamphaidae	Beryciformes	Teleostei
Scopeloberyx sp.	1	Melamphaidae	Beryciformes	Teleostei
Scopeloberyx opisthopterus	28	Melamphaidae	Beryciformes	Teleostei
Scopeloberyx robustus	42	Melamphaidae	Beryciformes	Teleostei
Melanonus zugmayeri	63	Melanonidae	Gadiformes	Teleostei
Melanonus gracilis	21	Melanonidae	Gadiformes	Teleostei
Microstoma microstoma	4	Microstomatidae	Argentiniformes	Teleostei
Nansenia candida	19	Microstomatidae	Argentiniformes	Teleostei
Nansenia oblita	1	Microstomatidae	Argentiniformes	Teleostei
Nansenia crassa	4	Microstomatidae	Argentiniformes	Teleostei
Nansenia ardesiaca	30	Microstomatidae	Argentiniformes	Teleostei
Nansenia groenlandica	5	Microstomatidae	Argentiniformes	Teleostei
Nansenia boreacrassicauda	4	Microstomatidae	Argentiniformes	Teleostei
Nansenia sanrikuensis	2	Microstomatidae	Argentiniformes	Teleostei
Monocentris japonica	47	Monocentridae	Trachichthyiformes	Teleostei
Physiculus fulvus	22	Moridae	Gadiformes	Teleostei
Physiculus rastrelliger	11	Moridae	Gadiformes	Teleostei
Halargyreus johnsonii	196	Moridae	Gadiformes	Teleostei
Guttigadus latifrons	3	Moridae	Gadiformes	Teleostei
Lepidion eques	82	Moridae	Gadiformes	Teleostei
Gadella jordani	18	Moridae	Gadiformes	Teleostei
Physiculus chigodarana	3	Moridae	Gadiformes	Teleostei
Lotella phycis	1	Moridae	Gadiformes	Teleostei
Physiculus sp.	5	Moridae	Gadiformes	Teleostei
Lotella tosaensis	1	Moridae	Gadiformes	Teleostei
Lepidion inosimae	9	Moridae	Gadiformes	Teleostei
Physiculus japonicus	175	Moridae	Gadiformes	Teleostei
Physiculus rhodopinnis	1	Moridae	Gadiformes	Teleostei
Guttigadus nana	3	Moridae	Gadiformes	Teleostei
Lepidion lepidion	140	Moridae	Gadiformes	Teleostei
Pseudophycis breviuscula	54	Moridae	Gadiformes	Teleostei
Physiculus yoshidae	1	Moridae	Gadiformes	Teleostei
Physiculus nigripinnis	1	Moridae	Gadiformes	Teleostei
Lepidion ensiferum	5	Moridae	Gadiformes	Teleostei
Lepidion capensis	15	Moridae	Gadiformes	Teleostei
Gracilimugil argenteus	28	Mugilidae	Mugiliformes	Teleostei
Myxus elongatus	16	Mugilidae	Mugiliformes	Teleostei
Upeneus guttatus	54	Mullidae	Mulliformes	Teleostei
Upeneus vittatus	146	Mullidae	Mulliformes	Teleostei
Upeneus itoui	2	Mullidae	Mulliformes	Teleostei
Upeneus japonicus	192	Mullidae	Mulliformes	Teleostei
Upeneus parvus	34	Mullidae	Mulliformes	Teleostei
Upeneus francisi	3	Mullidae	Mulliformes	Teleostei
Upeneus quadrilineatus	20	Mullidae	Mulliformes	Teleostei
Upeneus moluccensis	160	Mullidae	Mulliformes	Teleostei
Upeneus margarethae	85	Mullidae	Mulliformes	Teleostei
Upeneus subvittatus	48	Mullidae	Mulliformes	Teleostei
Upeneus pori	87	Mullidae	Mulliformes	Teleostei
Gymnothorax minor	57	Muraenidae	Anguilliformes	Teleostei
Gymnothorax reevesii	63	Muraenidae	Anguilliformes	Teleostei
Gymnothorax undulatus	170	Muraenidae	Anguilliformes	Teleostei
Gymnothorax mordax	3	Muraenidae	Anguilliformes	Teleostei
Gymnothorax vicinus	24	Muraenidae	Anguilliformes	Teleostei
Gymnothorax monochrous	18	Muraenidae	Anguilliformes	Teleostei
Gymnothorax ypsilon	2	Muraenidae	Anguilliformes	Teleostei
Gymnothorax gracilicauda	12	Muraenidae	Anguilliformes	Teleostei
Gymnothorax elegans	13	Muraenidae	Anguilliformes	Teleostei
Gymnothorax margaritophorus	60	Muraenidae	Anguilliformes	Teleostei
Gymnothorax kidako	41	Muraenidae	Anguilliformes	Teleostei
Gymnothorax meleagris	28	Muraenidae	Anguilliformes	Teleostei
Gymnothorax pseudothyrsoideus	85	Muraenidae	Anguilliformes	Teleostei
Gymnothorax richardsonii	25	Muraenidae	Anguilliformes	Teleostei
Gymnothorax flavimarginatus	101	Muraenidae	Anguilliformes	Teleostei
Gymnothorax chilospilus	69	Muraenidae	Anguilliformes	Teleostei
Gymnothorax sp.	27	Muraenidae	Anguilliformes	Teleostei
Gymnothorax rueppelliae	18	Muraenidae	Anguilliformes	Teleostei
Gymnothorax australicola	6	Muraenidae	Anguilliformes	Teleostei
Gymnothorax zonipectis	41	Muraenidae	Anguilliformes	Teleostei
Gymnothorax melatremus	43	Muraenidae	Anguilliformes	Teleostei
Gymnothorax fimbriatus	30	Muraenidae	Anguilliformes	Teleostei
Gymnothorax buroensis	93	Muraenidae	Anguilliformes	Teleostei
Gymnothorax breedeni	5	Muraenidae	Anguilliformes	Teleostei
Gymnothorax javanicus	47	Muraenidae	Anguilliformes	Teleostei
Gymnothorax eurostus	55	Muraenidae	Anguilliformes	Teleostei
Gymnothorax saxicola	9	Muraenidae	Anguilliformes	Teleostei
Gymnothorax emmae	13	Muraenidae	Anguilliformes	Teleostei
Gymnothorax nudivomer	22	Muraenidae	Anguilliformes	Teleostei
Gymnothorax phasmatodes	2	Muraenidae	Anguilliformes	Teleostei
Gymnothorax chlorostigma	1	Muraenidae	Anguilliformes	Teleostei
Gymnothorax enigmaticus	9	Muraenidae	Anguilliformes	Teleostei
Gymnothorax tile	12	Muraenidae	Anguilliformes	Teleostei
Gymnothorax polyuranodon	9	Muraenidae	Anguilliformes	Teleostei
Gymnothorax mccoskeri	2	Muraenidae	Anguilliformes	Teleostei
Gymnothorax prionodon	34	Muraenidae	Anguilliformes	Teleostei
Gymnothorax berndti	11	Muraenidae	Anguilliformes	Teleostei
Gymnothorax albimarginatus	10	Muraenidae	Anguilliformes	Teleostei
Gymnothorax isingteena	13	Muraenidae	Anguilliformes	Teleostei
Gymnothorax intesi	19	Muraenidae	Anguilliformes	Teleostei
Gymnothorax pictus	42	Muraenidae	Anguilliformes	Teleostei
Gymnothorax pindae	20	Muraenidae	Anguilliformes	Teleostei
Gymnothorax niphostigmus	13	Muraenidae	Anguilliformes	Teleostei
Gymnothorax fuscomaculatus	32	Muraenidae	Anguilliformes	Teleostei
Gymnothorax reticularis	55	Muraenidae	Anguilliformes	Teleostei
Gymnothorax leucostigma	1	Muraenidae	Anguilliformes	Teleostei
Gymnothorax unicolor	4	Muraenidae	Anguilliformes	Teleostei
Gymnothorax maderensis	6	Muraenidae	Anguilliformes	Teleostei
Gymnothorax bacalladoi	8	Muraenidae	Anguilliformes	Teleostei
Gymnothorax miliaris	31	Muraenidae	Anguilliformes	Teleostei
Gymnothorax polygonius	13	Muraenidae	Anguilliformes	Teleostei
Gymnothorax moringa	83	Muraenidae	Anguilliformes	Teleostei
Gymnothorax castaneus	4	Muraenidae	Anguilliformes	Teleostei
Muraenolepis orangiensis	11	Muraenolepididae	Gadiformes	Teleostei
Muraenolepis marmorata	193	Muraenolepididae	Gadiformes	Teleostei
Muraenolepis sp.	12	Muraenolepididae	Gadiformes	Teleostei
Muraenolepis microps	5	Muraenolepididae	Gadiformes	Teleostei
Neosebastes entaxis	14	Neosebastidae	Perciformes/Scorpaenoidei	Teleostei
Neosebastes thetidis	9	Neosebastidae	Perciformes/Scorpaenoidei	Teleostei
Neosebastes multisquamus	5	Neosebastidae	Perciformes/Scorpaenoidei	Teleostei
Cubiceps pauciradiatus	113	Nomeidae	Scombriformes	Teleostei
Cubiceps baxteri	23	Nomeidae	Scombriformes	Teleostei
Cubiceps paradoxus	11	Nomeidae	Scombriformes	Teleostei
Cubiceps whiteleggii	98	Nomeidae	Scombriformes	Teleostei
Cubiceps squamiceps	14	Nomeidae	Scombriformes	Teleostei
Cubiceps sp.	9	Nomeidae	Scombriformes	Teleostei
Notacanthus chemnitzii	63	Notacanthidae	Notacanthiformes	Teleostei
Notacanthus cf.	1	Notacanthidae	Notacanthiformes	Teleostei
Polyacanthonotus rissoanus	56	Notacanthidae	Notacanthiformes	Teleostei
Notacanthus bonaparte	184	Notacanthidae	Notacanthiformes	Teleostei
Lipogenys gillii	8	Notacanthidae	Notacanthiformes	Teleostei
Polyacanthonotus challengeri	24	Notacanthidae	Notacanthiformes	Teleostei
Notacanthus abbotti	5	Notacanthidae	Notacanthiformes	Teleostei
Notothenia coriiceps	61	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Dissostichus mawsoni	56	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Notothenia angustata	2	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Dissostichus eleginoides	557	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Notothenia rossii	32	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Paranotothenia magellanica	3	Nototheniidae	Perciformes/Notothenioidei	Teleostei
Malthopsis kobayashii	3	Ogcocephalidae	Lophiiformes	Teleostei
Malthopsis jordani	5	Ogcocephalidae	Lophiiformes	Teleostei
Malthopsis annulifera	9	Ogcocephalidae	Lophiiformes	Teleostei
Apterichtus australis	2	Ophichthidae	Anguilliformes	Teleostei
Apterichtus moseri	1	Ophichthidae	Anguilliformes	Teleostei
Genypterus blacodes	65	Ophidiidae	Ophidiiformes	Teleostei
Genypterus capensis	58	Ophidiidae	Ophidiiformes	Teleostei
Monacoa niger	1	Opisthoproctidae	Argentiniformes	Teleostei
Allocyttus verrucosus	33	Oreosomatidae	Zeiformes	Teleostei
Allocyttus folletti	17	Oreosomatidae	Zeiformes	Teleostei
Oreosoma atlanticum	26	Oreosomatidae	Zeiformes	Teleostei
Neocyttus rhomboidalis	52	Oreosomatidae	Zeiformes	Teleostei
Neocyttus psilorhynchus	14	Oreosomatidae	Zeiformes	Teleostei
Neocyttus helgae	26	Oreosomatidae	Zeiformes	Teleostei
Tetrosomus reipublicae	12	Ostraciidae	Tetraodontiformes	Teleostei
Tetrosomus gibbosus	43	Ostraciidae	Tetraodontiformes	Teleostei
Tetrosomus concatenatus	16	Ostraciidae	Tetraodontiformes	Teleostei
Lestidium prolixum	8	Lestidiidae	Aulopiformes	Teleostei
Lestidium atlanticum	10	Lestidiidae	Aulopiformes	Teleostei
Cyttopsis rosea	57	Parazenidae	Zeiformes	Teleostei
Cyttopsis cypho	7	Parazenidae	Zeiformes	Teleostei
Pempheris japonica	9	Pempheridae	Acropomatiformes	Teleostei
Pempheris schwenkii	75	Pempheridae	Acropomatiformes	Teleostei
Pempheris vanicolensis	49	Pempheridae	Acropomatiformes	Teleostei
Pempheris adusta	59	Pempheridae	Acropomatiformes	Teleostei
Pempheris nyctereutes	2	Pempheridae	Acropomatiformes	Teleostei
Pempheris oualensis	56	Pempheridae	Acropomatiformes	Teleostei
Pempheris molucca	2	Pempheridae	Acropomatiformes	Teleostei
Parapriacanthus ransonneti	37	Pempheridae	Acropomatiformes	Teleostei
Pempheris sp.	52	Pempheridae	Acropomatiformes	Teleostei
Pempheris flavicycla	51	Pempheridae	Acropomatiformes	Teleostei
Pentaceros japonicus	36	Pentacerotidae	Acropomatiformes	Teleostei
Pentaceros wheeleri	22	Pentacerotidae	Acropomatiformes	Teleostei
Histiopterus typus	61	Pentacerotidae	Acropomatiformes	Teleostei
Satyrichthys hians	13	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Satyrichthys welchi	7	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Satyrichthys laticeps	8	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Peristedion brevirostre	2	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Satyrichthys moluccensis	2	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Peristedion orientale	12	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Peristedion nierstraszi	1	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Peristedion liorhynchus	20	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Peristedion miniatum	33	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Satyrichthys sp.	2	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Satyrichthys cf.	2	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Parapercis pulchella	11	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis sexfasciata	21	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis kentingensis	33	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis kamoharai	8	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis cylindrica	29	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis millepunctata	12	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis alboguttata	13	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis multifasciata	12	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis basimaculata	1	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis ommatura	7	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis striolata	3	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Parapercis lutevittata	41	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
